ID,Protein name
126,beta keto-acyl synthase
127,beta keto-acyl synthase
128,hypothetical protein SCO0128
129,hypothetical protein SCO0129
130,beta-lactamase
131,hypothetical protein SCO0131
132,transcriptional regulator
133,hypothetical protein SCO0133
134,hypothetical protein SCO0134
135,hypothetical protein SCO0135
136,PTS system ascorbate-specific transporter subunit IIC
137,"sugar-transport protein, partial"
138,short chain dehydrogenase
139,hypothetical protein SCO0139
140,MerR family transcriptional regulator
141,calcium-binding protein
142,hypothetical protein SCO0142
143,hypothetical protein SCO0143
144,hypothetical protein SCO0144
145,hypothetical protein SCO0145
146,
147,transmembrane transport protein
148,transcriptional regulator
149,hypothetical protein SCO0149
150,hypothetical protein SCO0150
151,hypothetical protein SCO0151
152,"transmembrane transport protein, partial"
153,hypothetical protein SCO0153
154,hypothetical protein SCO0154
155,transcriptional regulator
156,hypothetical protein SCO0156
157,hypothetical protein SCO0157
158,oxidoreductase
159,ECF sigma factor
160,DNA-binding protein
161,hypothetical protein SCO0161
162,hypothetical protein SCO0162
163,hypothetical protein SCO0163
164,cation-transporting ATPase
165,hypothetical protein SCO0165
166,regulator
167,hypothetical protein SCO0167
168,regulator protein
169,hypothetical protein SCO0169
170,hypothetical protein SCO0170
171,nicotinate phosphoribosyltransferase
172,hypothetical protein SCO0172
173,hypothetical protein SCO0173
174,DNA-binding protein
175,hypothetical protein SCO0175
176,hypothetical protein SCO0176
177,hypothetical protein SCO0177
178,hypothetical protein SCO0178
179,zinc-containing dehydrogenase
180,hypothetical protein SCO0180
181,hypothetical protein SCO0181
182,hypothetical protein SCO0182
183,deoxiribopirymidine photolyase
184,hypothetical protein SCO0184
185,geranylgeranyl pyrophosphate synthase
186,phytoene dehydrogenase
187,phytoene synthase
188,methylesterase
189,"dehydrogenase, partial"
190,methyltransferase
191,lycopene cyclase
192,oxidoreductase
193,DNA-binding regulator
194,sigma factor
195,lipoprotein
196,hypothetical protein SCO0196
197,hypothetical protein SCO0197
198,hypothetical protein SCO0198
199,alcohol dehydrogenase
200,hypothetical protein SCO0200
201,hypothetical protein SCO0201
202,hypothetical protein SCO0202
203,two-component sensor
204,LuxR family transcriptional regulator
205,
206,
207,hypothetical protein SCO0207
208,pyruvate phosphate dikinase
209,hypothetical protein SCO0209
210,hypothetical protein SCO0210
211,hypothetical protein SCO0211
212,hypothetical protein SCO0212
213,nitrate/nitrite transporter
214,hypothetical protein SCO0214
215,hypothetical protein SCO0215
216,nitrate reductase subunit alpha NarG2
217,nitrate reductase subunit beta NarH2
218,nitrate reductase subunit delta NarJ2
219,nitrate reductase subunit delta NarI2
220,hypothetical protein SCO0220
221,
222,acetyltransferase
223,hypothetical protein SCO0223
224,hypothetical protein SCO0224
225,hypothetical protein SCO0225
226,hypothetical protein SCO0226
227,hypothetical protein SCO0227
228,hypothetical protein SCO0228
229,short chain dehydrogenase
230,TetR family transcriptional regulator
231,hypothetical protein SCO0231
232,hypothetical protein SCO0232
233,DNA-binding protein
234,oxidoreductase
235,short chain dehydrogenase
236,DNA-binding protein
237,oxidoreductase
238,hypothetical protein SCO0238
239,hypothetical protein SCO0239
240,oxidoreductase
241,transcriptional regulator
242,hypothetical protein SCO0242
243,hypothetical protein SCO0243
244,hypothetical protein SCO0244
245,hypothetical protein SCO0245
246,hypothetical protein SCO0246
247,hypothetical protein SCO0247
248,hypothetical protein SCO0248
249,hypothetical protein SCO0249
250,transcriptional regulator
251,hypothetical protein SCO0251
252,oxidoreductase
253,TetR family transcriptional regulator
254,hypothetical protein SCO0254
255,"sigma factor, partial"
256,short chain oxidoreductase
257,hypothetical protein SCO0257
258,hypothetical protein SCO0258
259,"alcohol dehydrogenase, partial"
260,hypothetical protein SCO0260
261,acetyltransferase
262,LysR family transcriptional regulator
263,oxidoreductase
264,transcriptional regulator
265,hydroxylase
266,transcriptional regulator
267,hydrolase
268,hypothetical protein SCO0268
269,hypothetical protein SCO0269
270,hypothetical protein SCO0270
271,binding-protein-dependent transport protein
272,binding-protein-dependent transport protein
273,"substrate binding protein, partial"
274,alpha-galactosidase
275,transcriptional repressor protein
276,oxidoreductase
277,hypothetical protein SCO0277
278,MutT domain-containing protein
279,glycosyl hydrolase
280,hypothetical protein SCO0280
281,hypothetical protein SCO0281
282,deoR family transcriptional regulator
283,hypothetical protein SCO0283
284,alpha-galactosidase
285,sodium/proton antiporter
286,peptidoglycan binding protein
287,regulatory protein
288,hypothetical protein SCO0288
289,transcriptional regulator
290,solute-binding protein
291,binding protein dependent transport protein
292,"sugar ABC-transporter integral membrane protein, partial"
293,beta-xylosidase
294,acetyltransferase
295,transmembrane efflux protein
296,transcriptional regulator
297,hypothetical protein SCO0297
298,LysR family transcriptional regulator
299,oxidoreductase
300,monooxygenase
301,lipoprotein
302,TetR family transcriptional regulator
303,hypothetical protein SCO0303
304,hypothetical protein SCO0304
305,hypothetical protein SCO0305
306,
307,DNA-binding protein
308,hypothetical protein SCO0308
309,amide hydrolase
310,TetR family transcriptional regulator
311,ligase
312,acyl-CoA dehydrogenase
313,transmembrane transport protein
314,hypothetical protein SCO0314
315,decarboxylase
316,DNA-binding protein
317,transmembrane transport protein
318,oxidoreductase
319,hypothetical protein SCO0319
320,hypothetical protein SCO0320
321,carboxylesterase
322,"ABC transport ATP-binding subunit, partial"
323,hypothetical protein SCO0323
324,hypothetical protein SCO0324
325,hypothetical protein SCO0325
326,hypothetical protein SCO0326
327,
328,
329,esterase
330,3-ketoacyl-ACP reductase
331,short chain oxidoreductase
332,transcriptional regulator
333,dioxygenase
334,hypothetical protein SCO0334
335,hypothetical protein SCO0335
336,hypothetical protein SCO0336
337,transcriptional regulator
338,dehydrogenase
339,dehydrogenase
340,hypothetical protein SCO0340
341,large hypothetical protein
342,"hypothetical protein SCO0342, partial"
343,hypothetical protein SCO0343
344,GntR family transcriptional regulator
345,IclR family regulatory protein
346,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase"
347,racemase
348,2-hydroxyacid dehydrogenase
349,oxidoreductase
350,hypothetical protein SCO0350
351,hypothetical protein SCO0351
352,solute-binding protein
353,binding protein dependent transport protein
354,binding-protein-dependent transport protein
355,hypothetical protein SCO0355
356,oxidoreductase
357,GntR family transcriptional regulator
358,racemase
359,hypothetical protein SCO0359
360,LacI family DNA-binding transcriptional repressor
361,hypothetical protein SCO0361
362,racemase
363,hypothetical protein SCO0363
364,enoyl-CoA hydratase
365,oxidoreductase
366,hypothetical protein SCO0366
367,hypothetical protein SCO0367
368,transposase
369,hypothetical protein SCO0369
370,DNA-binding protein
371,hypothetical protein SCO0371
372,hypothetical protein SCO0372
373,hypothetical protein SCO0373
374,ABC transporter
375,"integral membrane transport protein, partial"
376,transcriptional regulator
377,hypothetical protein SCO0377
378,hypothetical protein SCO0378
379,catalase
380,hypothetical protein SCO0380
381,glycosyl transferase
382,UDP-glucose/GDP-mannose dehydrogenase
383,hypothetical protein SCO0383
384,hypothetical protein SCO0384
385,hypothetical protein SCO0385
386,asparagine synthetase
387,bi-domain-containing oxidoreductase
388,hypothetical protein SCO0388
389,lipoprotein
390,hypothetical protein SCO0390
391,transferase
392,methyltransferase
393,transferase
394,hypothetical protein SCO0394
395,epimerase/dehydratase
396,hypothetical protein SCO0396
397,hypothetical protein SCO0397
398,glycosyl transferase
399,hypothetical protein SCO0399
400,epimerase
401,"glutamate-1-semialdehyde 2,1-aminomutase"
402,"hypothetical protein SCO0402, partial"
403,hypothetical protein SCO0403
404,2-haloalkanoic acid dehalogenase
405,hypothetical protein SCO0405
406,hypothetical protein SCO0406
407,transcriptional regulator
408,methyltransferase
409,spore-associated protein
410,hypothetical protein SCO0410
411,hypothetical protein SCO0411
412,hypothetical protein SCO0412
413,hypothetical protein SCO0413
414,RNA polymerase sigma factor
415,hypothetical protein SCO0415
416,hypothetical protein SCO0416
417,hypothetical protein SCO0417
418,DNA-binding protein
419,zinc-binding oxidoreductase
420,homoserine dehydrogenase
421,two-component response regulator
422,two-component sensor kinase
423,membrane transport protein
424,hypothetical protein SCO0424
425,hypothetical protein SCO0425
426,hypothetical protein SCO0426
427,hydrolase
428,tetR family transcriptional regulator
429,oxidoreductase
430,tetR family transcriptional regulator
431,hypothetical protein SCO0431
432,peptidase
433,transcriptional regulator
434,bifunctional PTS system maltose and glucose-specific transporter subunits IICB
435,aminotransferase
436,50S ribosomal protein L32
437,hypothetical protein SCO0437
438,pyrrolidone-carboxylate peptidase
439,hypothetical protein SCO0439
440,hypothetical protein SCO0440
441,LamB/YcsF family protein
442,hypothetical protein SCO0442
443,hypothetical protein SCO0443
444,hypothetical protein SCO0444
445,hypothetical protein SCO0445
446,hypothetical protein SCO0446
447,MarR family regulatory protein
448,
449,solute-binding lipoprotein
450,hypothetical protein SCO0450
451,hypothetical protein SCO0451
452,SIR2-like regulatory protein
453,solute-binding lipoprotein
454,binding-protein dependent transport protein
455,binding-protein dependent transport protein
456,LacI family transcriptional regulator
457,hypothetical protein SCO0457
458,Beta-glucosidase
459,hypothetical protein SCO0459
460,hypothetical protein SCO0460
461,"hydrolase, partial"
462,oxidoreductase
463,hypothetical protein SCO0463
464,hypothetical protein SCO0464
465,non-heme chloroperoxidase
466,AraC family transcription regulator
467,hypothetical protein SCO0467
468,hypothetical protein SCO0468
469,hypothetical protein SCO0469
470,hydrolase
471,AraC family transcription regulator
472,hypothetical protein SCO0472
473,solute-binding lipoprotein
474,lipoprotein
475,ABC transporter
476,ABC transporter ATP-binding protein
477,hypothetical protein SCO0477
478,hypothetical protein SCO0478
479,phosphatase
480,"hypothetical protein SCO0480, partial"
481,"chitin binding protein, partial"
482,"chitinase, partial"
483,hypothetical protein SCO0483
484,monooxygenase
485,TetR family transcriptional regulator
486,monooxygenase
487,MarR family transcriptional regulator
488,hydrolase
489,hypothetical protein SCO0489
490,esterase
491,ABC transporter
492,peptide synthetase
493,ABC-transporter transmembrane protein
494,iron-siderophore binding lipoprotein
495,iron-siderophore ABC-transporter ATP-binding protein
496,iron-siderophore permease transmembrane protein
497,iron-siderophore permease transmembrane protein
498,"peptide monooxygenase, partial"
499,formyltransferase
500,hypothetical protein SCO0500
501,hypothetical protein SCO0501
502,hypothetical protein SCO0502
503,hypothetical protein SCO0503
504,DEAD/DEAH box helicase
505,"large, multifunctional hypothetical protein, partial"
506,NAD synthetase
507,hypothetical protein SCO0507
508,tetR family transcriptional regulator
509,glycerol kinase
510,
511,dehydrogenase
512,regulatory protein
513,hypothetical protein SCO0513
514,hypothetical protein SCO0514
515,
516,lipoprotein
517,"hypothetical protein SCO0517, partial"
518,"hypothetical protein SCO0518, partial"
519,oxidoreductase
520,tetR family transcriptional regulator
521,"TetR family transcriptional regulator, partial"
522,oxidoreductase
523,transcriptional regulator
524,gluconolactonase
525,hypothetical protein SCO0525
526,oxidoreductase
527,cold shock protein
528,lipoprotein
529,oxidoreductase
530,transcriptional regulator
531,sugar transporter sugar binding protein
532,sugar transporter membrane protein
533,sugar transporter membrane protein
534,beta-hexosaminidase
535,hydrolase
536,hypothetical protein SCO0536
537,hypothetical protein SCO0537
538,sugar transporter sugar binding lipoprotein
539,sugar transporter membrane protein
540,sugar transport membrane protein
541,alpha-galactosidase
542,regulatory protein
543,peptidase
544,hypothetical protein SCO0544
545,hypothetical protein SCO0545
546,pyruvate carboxylase
547,acyltransferase
548,3-oxoacyl-ACP synthase
549,acyl carrier protein
550,hypothetical protein SCO0550
551,histidine kinase
552,response regulator
553,hypothetical protein SCO0553
554,"beta-mannosidase, partial"
555,membrane-bound oxidoreductase
556,hypothetical protein SCO0556
557,MerR family transcriptional regulator
558,hypothetical protein SCO0558
559,hypothetical protein SCO0559
560,catalase/peroxidase
561,Fe regulatory protein
562,hypothetical protein SCO0562
563,hypothetical protein SCO0563
564,hypothetical protein SCO0564
565,polyprenyl synthetase
566,hypothetical protein SCO0566
567,insertion element transposase
568,polyprenyl synthetase
569,50S ribosomal protein L36
570,50S ribosomal protein L33
571,hypothetical protein SCO0571
572,cytosine permease
573,hypothetical protein SCO0573
574,IclR family regulatory protein
575,peptidase E
576,oxidoreductase
577,hypothetical protein SCO0577
578,triosephosphate isomerase
579,ribose 5-phosphate isomerase
580,dihydroxyacetone kinase
581,transporter
582,transcriptional regulator
583,cytochrome P450
584,cytochrome P450
585,ATP/GTP binding protein
586,hypothetical protein SCO0586
587,hypothetical protein SCO0587
588,sensor kinase
589,LysR family transcriptional regulator
590,oxidoreductase
591,lysozyme
592,hypothetical protein SCO0592
593,hypothetical protein SCO0593
594,methyltransferase
595,hypothetical protein SCO0595
596,DNA-binding protein
597,hypothetical protein SCO0597
598,anti anti sigma factor
599,regulator of sig8
600,RNA polymerase sigma factor sig8
601,hypothetical protein SCO0601
602,hypothetical protein SCO0602
603,amino transferase
604,hypothetical protein SCO0604
605,AraC family transcription regulator
606,hypothetical protein SCO0606
607,lipoprotein
608,regulatory protein
609,hypothetical protein SCO0609
610,GntR family transcriptional regulator
611,hypothetical protein SCO0611
612,hypothetical protein SCO0612
613,arginine deiminase
614,hypothetical protein SCO0614
615,hypothetical protein SCO0615
616,hypothetical protein SCO0616
617,"phosphoketolase, partial"
618,hypothetical protein SCO0618
619,hypothetical protein SCO0619
620,hypothetical protein SCO0620
621,hypothetical protein SCO0621
622,TetR family transcriptional regulator
623,membrane transport protein
624,hypothetical protein SCO0624
625,transporter
626,hypothetical protein SCO0626
627,ATP-utilizing protein
628,hypothetical protein SCO0628
629,transcriptional regulator
630,acetyltransferase
631,hypothetical protein SCO0631
632,RNA polymerase sigma factor SigK
633,hypothetical protein SCO0633
634,
635,hypothetical protein SCO0635
636,ABC transporter ATP-binding protein
637,hypothetical protein SCO0637
638,lipoprotein
639,hypothetical protein SCO0639
640,hypothetical protein SCO0640
641,"tellurium resistance protein, partial"
642,hypothetical protein SCO0642
643,cellulose-binding protein
644,hypothetical protein SCO0644
645,Zinc-containing dehydrogenase
646,TetR family transcriptional regulator
647,short chain oxidoreductase
648,methyltransferase
649,gas vesicle synthesis protein
650,gas vesicle synthesis-like protein
651,gas vesicle synthesis protein
652,gas vesicle synthesis protein
653,hypothetical protein SCO0653
654,hypothetical protein SCO0654
655,gas vesicle synthesis protein
656,gas vesicle synthesis protein
657,gas vesicle synthesis protein
658,gas vesicle synthesis protein
659,DeoR family transcriptional regulator
660,solute-binding lipoprotein
661,binding protein dependent transport protein
662,binding protein dependent transport protein
663,2-hydroxyacid dehydrogenase
664,hypothetical protein SCO0664
665,hypothetical protein SCO0665
666,catalase
667,hypothetical protein SCO0667
668,flavoprotein
669,TetR family transcriptional regulator
670,glycerol-3-phosphate dehydrogenase
671,hypothetical protein SCO0671
672,anti-sigma factor antagonist
673,hypothetical protein SCO0673
674,"endo-1,4-beta-xylanase"
675,hypothetical protein SCO0675
676,integral membrane sensor protein
677,chitosanase
678,hypothetical protein SCO0678
679,hypothetical protein SCO0679
680,"transmembrane efflux protein, partial"
681,ferredoxin/ferredoxin-NADP reductase
682,hypothetical protein SCO0682
683,hypothetical protein SCO0683
684,hypothetical protein SCO0684
685,hypothetical protein SCO0685
686,hypothetical protein SCO0686
687,oxidoreductase
688,hypothetical protein SCO0688
689,"oxidoreductase, iron-sulfur binding subunit"
690,"oxidoreductase, molybdopterin binding subunit"
691,"oxidoreductase, partial"
692,hypothetical protein SCO0692
693,hypothetical protein SCO0693
694,hypothetical protein SCO0694
695,hypothetical protein SCO0695
696,hypothetical protein SCO0696
697,
698,hypothetical protein SCO0698
699,hypothetical protein SCO0699
700,ABC transporter ATP-binding protein
701,hypothetical protein SCO0701
702,regulator
703,regulator
704,
705,hypothetical protein SCO0705
706,lipoprotein
707,branched-chain amino acid ABC transporter permease
708,branched-chain amino acid ABC transporter
709,branched-chain amino acid ABC transporter ATP-binding protein
710,branched-chain amino acid ABC transporter ATP-binding protein
711,hypothetical protein SCO0711
712,transcriptional activator
713,lipase
714,oxidoreductase
715,hypothetical protein SCO0715
716,glycosyl hydrolase
717,hypothetical protein SCO0717
718,hypothetical protein SCO0718
719,hypothetical protein SCO0719
720,hypothetical protein SCO0720
721,glycosyl transferase
722,hydrolase
723,"fructose transport system kinase, partial"
724,transcriptional regulator
725,hypothetical protein SCO0725
726,oxidoreductase
727,hypothetical protein SCO0727
728,regulatory protein
729,hypothetical protein SCO0729
730,hypothetical protein SCO0730
731,transferase
732,protease
733,hypothetical protein SCO0733
734,transcriptional repressor
735,oxidoreductase
736,hypothetical protein SCO0736
737,oxidoreductase
738,hypothetical protein SCO0738
739,short chain dehydrogenase
740,hydrolase
741,oxidoreductase
742,"ABC transporter, partial"
743,hypothetical protein SCO0743
744,hypothetical protein SCO0744
745,TetR family transcriptional regulator
746,Ser/Thr protein kinase
747,hypothetical protein SCO0747
748,hydrolase
749,dehydratase
750,hypothetical protein SCO0750
751,regulatory protein
752,protease
753,hypothetical protein SCO0753
754,hypothetical protein SCO0754
755,ABC transporter
756,ABC transporter
757,phosphatase
758,hypothetical protein SCO0758
759,hypothetical protein SCO0759
760,methyltransferase
761,hypothetical protein SCO0761
762,protease inhibitor protein
763,oxidoreductase
764,hydrolase
765,endoglucanase
766,beta-galactosidase
767,hypothetical protein SCO0767
768,lipoprotein
769,"aldo/keto reductase, partial"
770,hypothetical protein SCO0770
771,hypothetical protein SCO0771
772,regulatory protein
773,ferredoxin
774,cytochrome P450
775,hypothetical protein SCO0775
776,hypothetical protein SCO0776
777,hypothetical protein SCO0777
778,hypothetical protein SCO0778
779,hypothetical protein SCO0779
780,zinc-binding oxidoreductase
781,anti sigma factor antagonist
782,ribose-phosphate pyrophosphokinase
783,tetracycline resistance protein
784,hypothetical protein SCO0784
785,hypothetical protein SCO0785
786,hypothetical protein SCO0786
787,hydrolase
788,hypothetical protein SCO0788
789,hypothetical protein SCO0789
790,"hydrolase, partial"
791,hypothetical protein SCO0791
792,hypothetical protein SCO0792
793,hypothetical protein SCO0793
794,transcriptional regulator
795,hypothetical protein SCO0795
796,hypothetical protein SCO0796
797,hypothetical protein SCO0797
798,hypothetical protein SCO0798
799,hypothetical protein SCO0799
800,TetR family transcriptional regulator
801,cytochrome P450
802,hypothetical protein SCO0802
803,RNA polymerase sigma factor
804,hypothetical protein SCO0804
805,prolyl aminopeptidase
806,LacI family transcriptional regulator
807,hypothetical protein SCO0807
808,solute-binding lipoprotein
809,ABC transporter permease
810,ABC transporter permease
811,"ABC transporter ATP-binding protein, partial"
812,sugar isomerase
813,short chain dehydrogenase
814,rhamnose kinase
815,hypothetical protein SCO0815
816,iron-sulfur protein
817,hypothetical protein SCO0817
818,ABC transporter ATP-binding protein
819,transmembrane transport protein
820,hypothetical protein SCO0820
821,threonine dehydratase
822,DNA-binding protein
823,GntR family transcriptional regulator
824,ABC transporter ATP-binding protein
825,transmembrane transport protein
826,hypothetical protein SCO0826
827,hypothetical protein SCO0827
828,alkaline phosphatase
829,serine protease
830,penicillin-binding protein
831,hypothetical protein SCO0831
832,hypothetical protein SCO0832
833,hypothetical protein SCO0833
834,hypothetical protein SCO0834
835,methyltransferase
836,hypothetical protein SCO0836
837,hypothetical protein SCO0837
838,hypothetical protein SCO0838
839,transmembrane transport protein
840,MarR family transcriptional regulator
841,oxidoreductase
842,deoxyribodipyrimidine photolyase
843,hypothetical protein SCO0843
844,DNA-binding protein
845,hypothetical protein SCO0845
846,hypothetical protein SCO0846
847,lyase
848,oxidoreductase
849,hypothetical protein SCO0849
850,hypothetical protein SCO0850
851,PfkB-family carbohydrate kinase
852,aldolase
853,hypothetical protein SCO0853
854,hypothetical protein SCO0854
855,acetyltransferase
856,hypothetical protein SCO0856
857,TetR family transcriptional regulator
858,hypothetical protein SCO0858
859,hypothetical protein SCO0859
860,cation-transporting ATPase
861,hypothetical protein SCO0861
862,hypothetical protein SCO0862
863,hypothetical protein SCO0863
864,ECF family RNA polymerase sigma factor
865,hypothetical protein SCO0865
866,ECF family RNA polymerase sigma factor
867,hypothetical protein SCO0867
868,regulatory protein
869,anti-sigma factor antagonist
870,two-component system response regulator
871,two-component sensor protein
872,hypothetical protein SCO0872
873,hypothetical protein SCO0873
874,hypothetical protein SCO0874
875,transcription regulator ArsR
876,hypothetical protein SCO0876
877,transcriptional regulator
878,hydrolase
879,
880,hypothetical protein SCO0880
881,hypothetical protein SCO0881
882,hypothetical protein SCO0882
883,peptide deformylase
884,oxidoreductase
885,thioredoxin
886,LacI family transcriptional regulator
887,TetR family transcriptional regulator
888,hypothetical protein SCO0888
889,LysR family transcriptional regulator
890,short chain oxidoreductase
891,DNA-binding protein
892,hypothetical protein SCO0892
893,hypothetical protein SCO0893
894,hypothetical protein SCO0894
895,RNA polymerase principal sigma factor HrdC
896,oxidoreductase
897,hypothetical protein SCO0897
898,regulator
899,hydrolase
900,transmembrane efflux protein
901,hypothetical protein SCO0901
902,hypothetical protein SCO0902
903,hypothetical protein SCO0903
904,hypothetical protein SCO0904
905,hypothetical protein SCO0905
906,hypothetical protein SCO0906
907,dehydrogenase
908,hypothetical protein SCO0908
909,hypothetical protein SCO0909
910,hypothetical protein SCO0910
911,hypothetical protein SCO0911
912,hypothetical protein SCO0912
913,"hypothetical protein SCO0913, partial"
914,lipoprotein
915,hypothetical protein SCO0915
916,hypothetical protein SCO0916
917,oxygenase
918,excinuclease ABC subunit A
919,hypothetical protein SCO0919
920,acyltransferase
921,hypothetical protein SCO0921
922,succinate dehydrogenase/fumarate reductase iron-sulfur subunit
923,succinate dehydrogenase flavoprotein subunit
924,cytochrome B subunit
925,LysR family transcriptional regulator
926,hypothetical protein SCO0926
927,LysR family transcriptional regulator
928,hypothetical protein SCO0928
929,hypothetical protein SCO0929
930,lipoprotein
931,proline-rich protein
932,hypothetical protein SCO0932
933,lipoprotein
934,hypothetical protein SCO0934
935,hypothetical protein SCO0935
936,oligosaccharide deacetylase
937,hypothetical protein SCO0937
938,amino acid transporter
939,hydrolase
940,MarR family regulatory protein
941,lipoprotein
942,RNA polymerase sigma factor SigL
943,hypothetical protein SCO0943
944,hypothetical protein SCO0944
945,formamidopyrimidine-DNA glycosylase
946,"regulatory protein, partial"
947,hypothetical protein SCO0947
948,alpha-mannosidase
949,hypothetical protein SCO0949
950,transport system permease
951,transport system permease
952,solute-binding protein
953,LacI family transcriptional regulator
954,acetyltransferase
955,hypothetical protein SCO0955
956,hypothetical protein SCO0956
957,oxidoreductase
958,hypothetical protein SCO0958
959,hypothetical protein SCO0959
960,hydrolase
961,glucose-1-phosphate adenylyltransferase
962,glycosyl transferase
963,hypothetical protein SCO0963
964,hypothetical protein SCO0964
965,hypothetical protein SCO0965
966,dehydratase
967,reductase
968,hypothetical protein SCO0968
969,reductase
970,dehydrogenase/reductase
971,LysR family transcriptional regulator
972,transposase remnant
973,hypothetical protein SCO0973
974,"hypothetical protein SCO0974, partial"
975,6-phosphogluconate dehydrogenase
976,hypothetical protein SCO0976
977,hypothetical protein SCO0977
978,aspartate alpha-decarboxylase
979,hypothetical protein SCO0979
980,"hypothetical protein SCO0980, partial"
981,DNA-binding protein
982,isocitrate lyase
983,malate synthase
984,3-hydroxybutyryl-CoA dehydrogenase
985,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase
986,hypothetical protein SCO0986
987,hypothetical protein SCO0987
988,acetyltransferase
989,hypothetical protein SCO0989
990,hypothetical protein SCO0990
991,hypothetical protein SCO0991
992,cysteine synthase
993,hypothetical protein SCO0993
994,hypothetical protein SCO0994
995,methyltransferase
996,lipoprotein
997,Fe uptake system integral membrane protein
998,Fe uptake system permease
999,superoxide dismutase
1000,integrase
1001,hypothetical protein SCO1001
1002,hypothetical protein SCO1002
1003,TetR family transcriptional regulator
1004,hypothetical protein SCO1004
1005,insertion element
1006,hypothetical protein SCO1006
1007,oxidoreductase
1008,hypothetical protein SCO1008
1009,transposase
1010,integral membrane transport protein
1011,hypothetical protein SCO1011
1012,oxidoreductase
1013,mut-like protein
1014,transferase
1015,hypothetical protein SCO1015
1016,hypothetical protein SCO1016
1017,lipoprotein
1018,glutamate racemase
1019,hypothetical protein SCO1019
1020,hypothetical protein SCO1020
1021,hypothetical protein SCO1021
1022,hypothetical protein SCO1022
1023,hypothetical protein SCO1023
1024,hypothetical protein SCO1024
1025,hypothetical protein SCO1025
1026,transcriptional regulator
1027,hypothetical protein SCO1027
1028,lyase
1029,"hypothetical protein SCO1029, partial"
1030,hypothetical protein SCO1030
1031,ABC transporter
1032,ABC transporter ATP-binding protein
1033,hypothetical protein SCO1033
1034,TetR family transcriptional regulator
1035,hypothetical protein SCO1035
1036,phosphotriesterase-family protein
1037,hypothetical protein SCO1037
1038,hypothetical protein SCO1038
1039,regulatory protein
1040,DNA repair protein
1041,hypothetical protein SCO1041
1042,hypothetical protein SCO1042
1043,transcriptional regulator
