#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_003888.3,46430,47734,-,1095492,-,SCO0061,NP_624415.1,434,-,hypothetical protein SCO0061
chr,NC_003888.3,47789,48892,-,1095493,-,SCO0062,NP_624416.1,367,-,LacI family transcriptional regulator
chr,NC_003888.3,48889,49824,-,1095494,-,SCO0063,NP_624417.1,311,-,glucokinase
chr,NC_003888.3,49821,51539,-,1095495,-,SCO0064,NP_624418.1,572,-,hypothetical protein SCO0064
chr,NC_003888.3,51831,53144,+,1095496,-,SCO0065,NP_624419.1,437,-,extracellular binding protein
chr,NC_003888.3,53141,54100,+,1095497,-,SCO0066,NP_624420.1,319,-,integral membrane permease
chr,NC_003888.3,54097,54918,+,1095498,-,SCO0067,NP_624421.1,273,-,integral membrane permease
chr,NC_003888.3,54968,56173,+,1095499,-,SCO0068,NP_624422.1,401,-,hydrolase
chr,NC_003888.3,56225,59383,+,1095500,-,SCO0069,NP_624423.1,1052,-,hypothetical protein SCO0069
chr,NC_003888.3,59558,60241,+,1095501,-,SCO0070,NP_624424.1,227,-,"hypothetical protein SCO0070, partial"
chr,NC_003888.3,60069,60275,-,1095502,-,SCO0071,NP_624425.1,68,-,hypothetical protein SCO0071
chr,NC_003888.3,60740,64093,-,1095503,-,SCO0072,NP_733489.1,1117,-,"hypothetical protein SCO0072, partial"
chr,NC_003888.3,64605,64925,+,1095504,-,SCO0073,NP_624426.1,106,-,hypothetical protein SCO0073
chr,NC_003888.3,64994,65092,+,1095505,-,SCO0074,NP_624427.1,32,-,hypothetical protein SCO0074
chr,NC_003888.3,65092,65679,+,1095506,-,SCO0075,NP_624428.1,195,-,hypothetical protein SCO0075
chr,NC_003888.3,66688,67911,-,1095508,-,SCO0079,NP_624429.1,407,-,integral membrane transport protein
chr,NC_003888.3,68372,68887,+,1095509,-,SCO0080,NP_624430.1,171,-,hypothetical protein SCO0080
chr,NC_003888.3,69799,70647,+,1095511,-,SCO0083,NP_624431.1,282,-,transposase
chr,NC_003888.3,70777,71235,+,1095512,-,SCO0084,NP_624432.1,152,-,hypothetical protein SCO0084
chr,NC_003888.3,71648,72139,-,1095513,-,SCO0085,NP_624433.1,163,-,hypothetical protein SCO0085
chr,NC_003888.3,72159,73097,-,1095514,-,SCO0086,NP_624434.1,312,-,ribosylglycohydrolase
chr,NC_003888.3,73784,74833,-,1095515,-,SCO0087,NP_624435.1,349,-,hypothetical protein SCO0087
chr,NC_003888.3,74917,75876,-,1095516,-,SCO0088,NP_624436.1,319,-,beta-lactamase
chr,NC_003888.3,75856,76893,+,1095517,-,SCO0089,NP_624437.1,345,-,transcriptional regulator
chr,NC_003888.3,76895,77314,-,1095518,-,SCO0090,NP_624438.1,140,-,"transposase, partial"
chr,NC_003888.3,77315,78271,+,1095519,-,SCO0091,NP_624439.1,318,-,IS1652 transposase
chr,NC_003888.3,78983,79702,-,1095521,-,SCO0095,NP_624440.1,239,-,hypothetical protein SCO0095
chr,NC_003888.3,79839,80690,-,1095522,-,SCO0096,NP_624441.1,283,-,noncomposite transposon transposase
chr,NC_003888.3,80845,81165,-,1095523,-,SCO0097,NP_624442.1,106,-,hypothetical protein SCO0097
chr,NC_003888.3,81602,82441,-,1095524,-,SCO0098,NP_624443.1,279,-,transposase
chr,NC_003888.3,83516,83992,-,1095526,-,SCO0101,NP_624444.2,158,-,hypothetical protein SCO0101
chr,NC_003888.3,84893,85339,+,1095527,-,SCO0102,NP_624445.1,148,-,hypothetical protein SCO0102
chr,NC_003888.3,85336,86643,+,1095528,-,SCO0103,NP_624446.1,435,-,flavohemoprotein
chr,NC_003888.3,86640,87311,+,1095529,-,SCO0104,NP_624447.1,223,-,hydrolase
chr,NC_003888.3,87907,88632,-,1095530,-,SCO0105,NP_624448.1,241,-,"endo-1,4-beta-xylanase"
chr,NC_003888.3,89073,89465,+,1095531,-,SCO0106,NP_624449.1,130,-,insertion element transposase
chr,NC_003888.3,89486,90043,-,1095532,-,SCO0107,NP_624450.1,185,-,aminoglycoside nucleotidyltransferase
chr,NC_003888.3,90242,90391,+,1095533,-,SCO0108,NP_624451.1,49,-,hypothetical protein SCO0108
chr,NC_003888.3,90395,90865,-,1095534,-,SCO0109,NP_624452.1,156,-,hypothetical protein SCO0109
chr,NC_003888.3,90951,91790,-,1095535,-,SCO0110,NP_624453.1,279,-,DNA-binding protein
chr,NC_003888.3,91977,92729,+,1095536,-,SCO0111,NP_624454.1,250,-,oxidoreductase
chr,NC_003888.3,92773,92928,-,1095537,-,SCO0112,NP_624455.1,51,-,hypothetical protein SCO0112
chr,NC_003888.3,94306,94872,-,1095540,-,SCO0116,NP_624456.1,188,-,TetR family transcriptional regulator
chr,NC_003888.3,94989,95681,+,1095541,-,SCO0117,NP_624457.1,230,-,short chain dehydrogenase
chr,NC_003888.3,95989,97518,+,1095542,-,SCO0118,NP_624458.1,509,-,xylosidase/arabinosidase
chr,NC_003888.3,97760,98281,-,1095543,-,SCO0119,NP_624459.1,173,-,hypothetical protein SCO0119
chr,NC_003888.3,98463,99338,-,1095544,-,SCO0120,NP_733490.1,291,-,"hypothetical protein SCO0120, partial"
chr,NC_003888.3,99335,99949,-,1095545,-,SCO0121,NP_624460.1,204,-,ABC transporter ATP-binding protein
chr,NC_003888.3,100190,101566,+,1095546,-,SCO0122,NP_624461.1,458,-,flavin-containing monooxygenase
chr,NC_003888.3,101656,103002,-,1095547,-,SCO0123,NP_624462.1,448,-,hypothetical protein SCO0123
chr,NC_003888.3,103628,104989,+,1095548,-,SCO0124,NP_624463.1,453,-,hypothetical protein SCO0124
chr,NC_003888.3,105057,106640,+,1095549,-,SCO0125,NP_624464.1,527,-,oxidoreductase
chr,NC_003888.3,106637,112885,+,1095550,-,SCO0126,NP_624465.1,2082,-,beta keto-acyl synthase
chr,NC_003888.3,112932,119654,+,1095551,-,SCO0127,NP_624466.1,2240,-,beta keto-acyl synthase
chr,NC_003888.3,119651,119833,+,1095552,-,SCO0128,NP_624467.1,60,-,hypothetical protein SCO0128
chr,NC_003888.3,119841,120215,+,1095553,-,SCO0129,NP_624468.1,124,-,hypothetical protein SCO0129
chr,NC_003888.3,120457,121371,+,1095554,-,SCO0130,NP_624469.1,304,-,beta-lactamase
chr,NC_003888.3,121617,122456,-,1095555,-,SCO0131,NP_624470.1,279,-,hypothetical protein SCO0131
chr,NC_003888.3,122743,125502,+,1095556,-,SCO0132,NP_624471.1,919,-,transcriptional regulator
chr,NC_003888.3,125625,126005,-,1095557,-,SCO0133,NP_624472.1,126,-,hypothetical protein SCO0133
chr,NC_003888.3,126989,127294,-,1095558,-,SCO0134,NP_624473.1,101,-,hypothetical protein SCO0134
chr,NC_003888.3,127571,128290,+,1095559,-,SCO0135,NP_624474.1,239,-,hypothetical protein SCO0135
chr,NC_003888.3,128634,130184,-,1095560,ulaA,SCO0136,NP_624475.1,516,-,PTS system ascorbate-specific transporter subunit IIC
chr,NC_003888.3,130201,131001,-,1095561,-,SCO0137,NP_733491.1,266,-,"sugar-transport protein, partial"
chr,NC_003888.3,131523,132296,+,1095562,-,SCO0138,NP_624476.1,257,-,short chain dehydrogenase
chr,NC_003888.3,132327,132647,+,1095563,-,SCO0139,NP_624477.1,106,-,hypothetical protein SCO0139
chr,NC_003888.3,132693,133520,+,1095564,-,SCO0140,NP_624478.1,275,-,MerR family transcriptional regulator
chr,NC_003888.3,133570,134121,-,1095565,-,SCO0141,NP_624479.1,183,-,calcium-binding protein
chr,NC_003888.3,134295,136100,-,1095566,-,SCO0142,NP_624480.1,601,-,hypothetical protein SCO0142
chr,NC_003888.3,136647,137183,+,1095567,-,SCO0143,NP_624481.1,178,-,hypothetical protein SCO0143
chr,NC_003888.3,137197,137556,+,1095568,-,SCO0144,NP_624482.1,119,-,hypothetical protein SCO0144
chr,NC_003888.3,137561,138589,+,1095569,-,SCO0145,NP_624483.1,342,-,hypothetical protein SCO0145
chr,NC_003888.3,138976,139467,+,1095571,-,SCO0147,NP_624484.1,163,-,transmembrane transport protein
chr,NC_003888.3,139467,139712,+,1095572,-,SCO0148,NP_624485.1,81,-,transcriptional regulator
chr,NC_003888.3,139703,140299,-,1095573,-,SCO0149,NP_624486.1,198,-,hypothetical protein SCO0149
chr,NC_003888.3,140368,140862,+,1095574,-,SCO0150,NP_624487.1,164,-,hypothetical protein SCO0150
chr,NC_003888.3,141370,141708,+,1095575,-,SCO0151,NP_624488.1,112,-,hypothetical protein SCO0151
chr,NC_003888.3,141705,143315,+,1095576,-,SCO0152,NP_733492.1,536,-,"transmembrane transport protein, partial"
chr,NC_003888.3,143776,144363,-,1095577,-,SCO0153,NP_624489.1,195,-,hypothetical protein SCO0153
chr,NC_003888.3,144704,145366,-,1095578,-,SCO0154,NP_624490.1,220,-,hypothetical protein SCO0154
chr,NC_003888.3,145499,146122,+,1095579,-,SCO0155,NP_624491.1,207,-,transcriptional regulator
chr,NC_003888.3,146034,146351,-,1095580,-,SCO0156,NP_624492.1,105,-,hypothetical protein SCO0156
chr,NC_003888.3,146603,146980,+,1095581,-,SCO0157,NP_624493.1,125,-,hypothetical protein SCO0157
chr,NC_003888.3,146977,148206,+,1095582,-,SCO0158,NP_624494.1,409,-,oxidoreductase
chr,NC_003888.3,148216,149184,+,1095583,-,SCO0159,NP_624495.1,322,-,ECF sigma factor
chr,NC_003888.3,149508,150209,-,1095584,-,SCO0160,NP_624496.1,233,-,DNA-binding protein
chr,NC_003888.3,150181,150525,-,1095585,-,SCO0161,NP_624497.1,114,-,hypothetical protein SCO0161
chr,NC_003888.3,150579,151571,+,1095586,-,SCO0162,NP_624498.1,330,-,hypothetical protein SCO0162
chr,NC_003888.3,151749,153275,+,1095587,-,SCO0163,NP_624499.1,508,-,hypothetical protein SCO0163
chr,NC_003888.3,153398,155728,+,1095588,-,SCO0164,NP_624500.1,776,-,cation-transporting ATPase
chr,NC_003888.3,155707,156120,-,1095589,-,SCO0165,NP_624501.1,137,-,hypothetical protein SCO0165
chr,NC_003888.3,156338,157141,+,1095590,-,SCO0166,NP_624502.1,267,-,regulator
chr,NC_003888.3,157189,158073,-,1095591,-,SCO0167,NP_624503.1,294,-,hypothetical protein SCO0167
chr,NC_003888.3,158732,159304,+,1095592,-,SCO0168,NP_624504.1,190,-,regulator protein
chr,NC_003888.3,159372,160025,+,1095593,-,SCO0169,NP_624505.1,217,-,hypothetical protein SCO0169
chr,NC_003888.3,160356,161027,-,1095594,-,SCO0170,NP_624506.1,223,-,hypothetical protein SCO0170
chr,NC_003888.3,161237,162553,+,1095595,-,SCO0171,NP_624507.1,438,-,nicotinate phosphoribosyltransferase
chr,NC_003888.3,162661,163119,+,1095596,-,SCO0172,NP_624508.1,152,-,hypothetical protein SCO0172
chr,NC_003888.3,163235,164017,-,1095597,-,SCO0173,NP_624509.1,260,-,hypothetical protein SCO0173
chr,NC_003888.3,164023,164994,-,1095598,-,SCO0174,NP_624510.1,323,-,DNA-binding protein
chr,NC_003888.3,165059,165406,-,1095599,-,SCO0175,NP_624511.1,115,-,hypothetical protein SCO0175
chr,NC_003888.3,165460,165855,+,1095600,-,SCO0176,NP_624512.1,131,-,hypothetical protein SCO0176
chr,NC_003888.3,166033,166614,+,1095601,-,SCO0177,NP_624513.1,193,-,hypothetical protein SCO0177
chr,NC_003888.3,166891,167337,+,1095602,-,SCO0178,NP_624514.1,148,-,hypothetical protein SCO0178
chr,NC_003888.3,167444,168514,-,1095603,-,SCO0179,NP_624515.1,356,-,zinc-containing dehydrogenase
chr,NC_003888.3,168705,169556,-,1095604,-,SCO0180,NP_624516.1,283,-,hypothetical protein SCO0180
chr,NC_003888.3,169584,170570,-,1095605,-,SCO0181,NP_624517.1,328,-,hypothetical protein SCO0181
chr,NC_003888.3,170656,170880,-,1095606,-,SCO0182,NP_624518.1,74,-,hypothetical protein SCO0182
chr,NC_003888.3,170911,172158,+,1095607,-,SCO0183,NP_624519.1,415,-,deoxiribopirymidine photolyase
chr,NC_003888.3,172170,173984,+,1095608,-,SCO0184,NP_624520.1,604,-,hypothetical protein SCO0184
chr,NC_003888.3,173768,174946,+,1095609,-,SCO0185,NP_624521.1,392,-,geranylgeranyl pyrophosphate synthase
chr,NC_003888.3,174943,176514,+,1095610,-,SCO0186,NP_624522.1,523,-,phytoene dehydrogenase
chr,NC_003888.3,176501,177496,+,1095611,-,SCO0187,NP_624523.1,331,-,phytoene synthase
chr,NC_003888.3,177493,178503,+,1095612,-,SCO0188,NP_624524.1,336,-,methylesterase
chr,NC_003888.3,178519,180087,-,1095613,-,SCO0189,NP_733493.1,522,-,"dehydrogenase, partial"
chr,NC_003888.3,180084,180824,-,1095614,-,SCO0190,NP_624525.1,246,-,methyltransferase
chr,NC_003888.3,180821,182038,-,1095615,-,SCO0191,NP_624526.1,405,-,lycopene cyclase
chr,NC_003888.3,182309,183559,-,1095616,-,SCO0192,NP_624527.1,416,-,oxidoreductase
chr,NC_003888.3,183793,184797,-,1095617,-,SCO0193,NP_624528.1,334,-,DNA-binding regulator
chr,NC_003888.3,184958,185566,+,1095618,-,SCO0194,NP_624529.1,202,-,sigma factor
chr,NC_003888.3,185675,186361,+,1095619,-,SCO0195,NP_624530.1,228,-,lipoprotein
chr,NC_003888.3,186483,186887,+,1095620,-,SCO0196,NP_624531.1,134,-,hypothetical protein SCO0196
chr,NC_003888.3,187019,187459,-,1095621,-,SCO0197,NP_624532.1,146,-,hypothetical protein SCO0197
chr,NC_003888.3,187992,188858,-,1095622,-,SCO0198,NP_624533.1,288,-,hypothetical protein SCO0198
chr,NC_003888.3,188864,189886,-,1095623,-,SCO0199,NP_624534.1,340,-,alcohol dehydrogenase
chr,NC_003888.3,189925,190830,-,1095624,-,SCO0200,NP_624535.1,301,-,hypothetical protein SCO0200
chr,NC_003888.3,190983,191654,-,1095625,-,SCO0201,NP_624536.1,223,-,hypothetical protein SCO0201
chr,NC_003888.3,191919,192848,+,1095626,-,SCO0202,NP_624537.1,309,-,hypothetical protein SCO0202
chr,NC_003888.3,192880,194637,-,1095627,-,SCO0203,NP_624538.1,585,-,two-component sensor
chr,NC_003888.3,194760,195461,-,1095628,-,SCO0204,NP_624539.1,233,-,LuxR family transcriptional regulator
chr,NC_003888.3,196386,196991,-,1095631,-,SCO0207,NP_624540.1,201,-,hypothetical protein SCO0207
chr,NC_003888.3,197221,199917,+,1095632,-,SCO0208,NP_624541.1,898,-,pyruvate phosphate dikinase
chr,NC_003888.3,200024,200428,+,1095633,-,SCO0209,NP_624542.1,134,-,hypothetical protein SCO0209
chr,NC_003888.3,200728,201369,+,1095634,-,SCO0210,NP_624543.1,213,-,hypothetical protein SCO0210
chr,NC_003888.3,201374,202090,+,1095635,-,SCO0211,NP_624544.1,238,-,hypothetical protein SCO0211
chr,NC_003888.3,202370,202843,-,1095636,-,SCO0212,NP_624545.1,157,-,hypothetical protein SCO0212
chr,NC_003888.3,202863,204101,-,1095637,-,SCO0213,NP_624546.1,412,-,nitrate/nitrite transporter
chr,NC_003888.3,204387,204800,+,1095638,-,SCO0214,NP_624547.1,137,-,hypothetical protein SCO0214
chr,NC_003888.3,204881,205888,-,1095639,-,SCO0215,NP_624548.1,335,-,hypothetical protein SCO0215
chr,NC_003888.3,206480,210181,+,1095640,-,SCO0216,NP_624549.1,1233,-,nitrate reductase subunit alpha NarG2
chr,NC_003888.3,210183,211751,+,1095641,-,SCO0217,NP_624550.1,522,-,nitrate reductase subunit beta NarH2
chr,NC_003888.3,211748,212551,+,1095642,-,SCO0218,NP_624551.1,267,-,nitrate reductase subunit delta NarJ2
chr,NC_003888.3,212551,213321,+,1095643,-,SCO0219,NP_624552.1,256,-,nitrate reductase subunit delta NarI2
chr,NC_003888.3,213427,213870,+,1095644,-,SCO0220,NP_624553.1,147,-,hypothetical protein SCO0220
chr,NC_003888.3,214913,215446,+,1095646,-,SCO0222,NP_624554.1,177,-,acetyltransferase
chr,NC_003888.3,215443,215559,+,1095647,-,SCO0223,NP_624555.1,38,-,hypothetical protein SCO0223
chr,NC_003888.3,215807,216844,-,1095648,-,SCO0224,NP_624556.1,345,-,hypothetical protein SCO0224
chr,NC_003888.3,216834,217268,-,1095649,-,SCO0225,NP_624557.1,144,-,hypothetical protein SCO0225
chr,NC_003888.3,217315,218019,-,1095650,-,SCO0226,NP_624558.1,234,-,hypothetical protein SCO0226
chr,NC_003888.3,218418,218780,-,1095651,-,SCO0227,NP_624559.1,120,-,hypothetical protein SCO0227
chr,NC_003888.3,218973,219059,+,1095652,-,SCO0228,NP_624560.1,28,-,hypothetical protein SCO0228
chr,NC_003888.3,219302,220150,+,1095653,-,SCO0229,NP_624561.1,282,-,short chain dehydrogenase
chr,NC_003888.3,220150,220764,+,1095654,-,SCO0230,NP_624562.1,204,-,TetR family transcriptional regulator
chr,NC_003888.3,221092,221247,-,1095655,-,SCO0231,NP_624563.1,51,-,hypothetical protein SCO0231
chr,NC_003888.3,221414,221599,-,1095656,-,SCO0232,NP_624564.1,61,-,hypothetical protein SCO0232
chr,NC_003888.3,221699,222538,-,1095657,-,SCO0233,NP_624565.1,279,-,DNA-binding protein
chr,NC_003888.3,222827,223288,+,1095658,-,SCO0234,NP_624566.1,153,-,oxidoreductase
chr,NC_003888.3,223294,224232,+,1095659,-,SCO0235,NP_624567.1,312,-,short chain dehydrogenase
chr,NC_003888.3,224404,225276,-,1095660,-,SCO0236,NP_624568.1,290,-,DNA-binding protein
chr,NC_003888.3,225476,226237,+,1095661,-,SCO0237,NP_624569.1,253,-,oxidoreductase
chr,NC_003888.3,226481,227008,+,1095662,-,SCO0238,NP_624570.1,175,-,hypothetical protein SCO0238
chr,NC_003888.3,227081,228154,-,1095663,-,SCO0239,NP_624571.1,357,-,hypothetical protein SCO0239
chr,NC_003888.3,228714,229649,-,1095664,-,SCO0240,NP_624572.1,311,-,oxidoreductase
chr,NC_003888.3,229995,230669,+,1095665,-,SCO0241,NP_624573.1,224,-,transcriptional regulator
chr,NC_003888.3,231022,231465,+,1095666,-,SCO0242,NP_624574.1,147,-,hypothetical protein SCO0242
chr,NC_003888.3,231475,231654,+,1095667,-,SCO0243,NP_624575.1,59,-,hypothetical protein SCO0243
chr,NC_003888.3,232508,233518,+,1095668,-,SCO0244,NP_624576.1,336,-,hypothetical protein SCO0244
chr,NC_003888.3,233854,234873,-,1095669,-,SCO0245,NP_624577.1,339,-,hypothetical protein SCO0245
chr,NC_003888.3,234870,236207,-,1095670,-,SCO0246,NP_624578.1,445,-,hypothetical protein SCO0246
chr,NC_003888.3,236782,237807,+,1095671,-,SCO0247,NP_624579.1,341,-,hypothetical protein SCO0247
chr,NC_003888.3,237664,238251,-,1095672,-,SCO0248,NP_624580.1,195,-,hypothetical protein SCO0248
chr,NC_003888.3,238280,239794,-,1095673,-,SCO0249,NP_624581.1,504,-,hypothetical protein SCO0249
chr,NC_003888.3,239858,240523,+,1095674,-,SCO0250,NP_624582.1,221,-,transcriptional regulator
chr,NC_003888.3,240559,240843,-,1095675,-,SCO0251,NP_624583.1,94,-,hypothetical protein SCO0251
chr,NC_003888.3,240876,242123,-,1095676,-,SCO0252,NP_624584.1,415,-,oxidoreductase
chr,NC_003888.3,242194,242766,+,1095677,-,SCO0253,NP_624585.1,190,-,TetR family transcriptional regulator
chr,NC_003888.3,243022,243762,-,1095678,-,SCO0254,NP_624586.1,246,-,hypothetical protein SCO0254
chr,NC_003888.3,243936,245672,-,1095679,-,SCO0255,NP_733494.1,578,-,"sigma factor, partial"
chr,NC_003888.3,245986,246783,+,1095680,-,SCO0256,NP_624587.1,265,-,short chain oxidoreductase
chr,NC_003888.3,246868,247869,+,1095681,-,SCO0257,NP_624588.1,333,-,hypothetical protein SCO0257
chr,NC_003888.3,247871,248680,+,1095682,-,SCO0258,NP_624589.1,269,-,hypothetical protein SCO0258
chr,NC_003888.3,248677,249702,+,1095683,-,SCO0259,NP_733495.1,341,-,"alcohol dehydrogenase, partial"
chr,NC_003888.3,249755,250084,+,1095684,-,SCO0260,NP_624590.1,109,-,hypothetical protein SCO0260
chr,NC_003888.3,250164,250691,-,1095685,-,SCO0261,NP_624591.1,175,-,acetyltransferase
chr,NC_003888.3,250805,251740,+,1095686,-,SCO0262,NP_624592.1,311,-,LysR family transcriptional regulator
chr,NC_003888.3,251764,252879,-,1095687,-,SCO0263,NP_624593.1,371,-,oxidoreductase
chr,NC_003888.3,252946,253398,+,1095688,-,SCO0264,NP_624594.1,150,-,transcriptional regulator
chr,NC_003888.3,253499,254290,+,1095689,-,SCO0265,NP_624595.1,263,-,hydroxylase
chr,NC_003888.3,254332,255309,-,1095690,-,SCO0266,NP_624596.1,325,-,transcriptional regulator
chr,NC_003888.3,255311,256087,+,1095691,-,SCO0267,NP_624597.1,258,-,hydrolase
chr,NC_003888.3,256281,256442,+,1095692,-,SCO0268,NP_624598.1,53,-,hypothetical protein SCO0268
chr,NC_003888.3,256526,259687,+,1095693,-,SCO0269,NP_624599.1,1053,-,hypothetical protein SCO0269
chr,NC_003888.3,259684,261084,+,1095694,-,SCO0270,NP_624600.1,466,-,hypothetical protein SCO0270
chr,NC_003888.3,261366,262319,+,1095695,-,SCO0271,NP_624601.1,317,-,binding-protein-dependent transport protein
chr,NC_003888.3,262330,263220,+,1095696,-,SCO0272,NP_624602.1,296,-,binding-protein-dependent transport protein
chr,NC_003888.3,263285,264634,+,1095697,-,SCO0273,NP_733496.1,449,-,"substrate binding protein, partial"
chr,NC_003888.3,264764,266263,+,1095698,-,SCO0274,NP_624603.1,499,-,alpha-galactosidase
chr,NC_003888.3,266356,267513,+,1095699,-,SCO0275,NP_624604.1,385,-,transcriptional repressor protein
chr,NC_003888.3,267585,268838,+,1095700,-,SCO0276,NP_624605.1,417,-,oxidoreductase
